"DINÁMICA","CARACTERIZ","MODALIDAD","DÍA_SEMAN","MES_DEL_HE","FRANJA_HORARIA","ZONA","ESTRATO_GRUPO"
"Hurto","HURTO DE VEHICULOS","HALADO","sábado","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","viernes","enero","Tarde","Sur","Medio-alto"
"Hurto","HURTO A CELULARES","RAPONAZO","jueves","enero","Noche","Nor-Occidente","Medio-bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","jueves","enero","Tarde","Sur","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A CELULARES","ATRACO","jueves","enero","Tarde","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","COSQUILLEO","jueves","enero","Mañana","Nor-Occidente","Medio-alto"
"Hurto","HURTO  A ESTABLECIMIENTOS","ATRACO","jueves","enero","Mañana","Sur","Bajo"
"Hurto","HURTO A CELULARES","RAPONAZO","jueves","enero","Madrugada","Nor-Occidente","Medio"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Tarde","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A RESIDENCIA","FACTOR DE OPORTUNIDAD","miércoles","enero","Tarde","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Noche","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","COSQUILLEO","jueves","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","RAPONAZO","jueves","enero","Mañana","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A CELULARES","RAPONAZO","jueves","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","domingo","enero","Noche","Sur","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","viernes","enero","Mañana","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A RESIDENCIA","VENTOSA","domingo","enero","Tarde","Oriente","Medio"
"Hurto","HURTO DE VEHICULOS","HALADO","lunes","enero","Mañana","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","FACTOR DE OPORTUNIDAD","lunes","enero","Madrugada","Nor-Occidente","Medio-alto"
"Hurto","HURTO DE VEHICULOS","HALADO","sábado","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","viernes","enero","Mañana","Sur","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Sur","Medio"
"Hurto","HURTO A PERSONAS","COSQUILLEO","jueves","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","martes","enero","Tarde","Nor-Occidente","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","domingo","enero","Mañana","Nor-Oriente","Bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","ATRACO","martes","enero","Mañana","Nor-Oriente","Medio-bajo"
